Time_s,ChamberPressure_BarA_ButterFilter_mean,ChamberPressure_BarA_ButterFilter_std,HeatRelease_ButterFilter_mean,HeatRelease_ButterFilter_std,CumulativeHeatRelease_ButterFilter_mean,CumulativeHeatRelease_ButterFilter_std,MainInjector_CurrentProfile_mean,MainInjector_CurrentProfile_std
0.0052780000054255,68.6032295460041,3.8424286018128067,14835.006545424258,2698.4192773287336,41412.53046770255,2631.5297211152156,0.0041081258895383594,0.17826641201685492
0.0052800000054276,68.61937348471938,3.842056324911287,14833.90091442014,2699.599598169244,41442.19937510648,2636.228758402066,0.08851269339988177,0.2016775019164826
0.0052820000054296,68.6355090603766,3.8416817996018526,14832.782573553684,2700.7519243799916,41471.86605853947,2640.930173829092,0.06470688633087511,0.1398034802194959
0.0052840000054317,68.65163624556203,3.8413050532589628,14831.65134780577,2701.8762931420306,41501.53049240491,2645.6339204507062,-0.1820111689656335,0.21293923104375045
0.0052860000054337,68.66775501262616,3.840926112851112,14830.507063628354,2702.9727426542827,41531.192650761346,2650.3399513130767,-0.17551972674777258,0.11394489661297491
0.0052880000054358,68.68386533367648,3.840545004938916,14829.34954894594,2704.0413121283036,41560.85250731799,2655.0482194591877,-0.008876819396622502,0.18673540577703288
0.0052900000054378,68.6999671805703,3.840161755673308,14828.17863315696,2705.0820417831437,41590.510035445084,2659.758677927235,0.0668707573851475,0.12242620720788068
0.0052920000054399,68.71606052490755,3.839776390793867,14826.994147135083,2706.094972840285,41620.16520816944,2664.471279755677,-0.03268184281608889,0.11418993608379809
0.005294000005442,68.73214533802398,3.8393889356273045,14825.79592323045,2707.0801475185995,41649.817998185055,2669.185977981929,-0.23395230718239815,0.1825251267683087
0.005296000005444,68.74822159098419,3.838999415086132,14824.58379527083,2708.037609029399,41679.46837784733,2673.9027256457953,-0.1820124687715907,0.09326125827516897
0.0052980000054461,68.76428925457476,3.8386078536674204,14823.357598562709,2708.9674015715273,41709.11631918641,2678.6214757914354,0.019257617060026874,0.2068131552067213
0.0053000000054481,68.78034829929786,3.838214275451755,14822.117169892264,2709.869570326521,41738.76179389862,2683.342181467496,0.09933366117274095,0.11155632271429733
0.0053020000054502,68.79639869536443,3.837818704102252,14820.862347526338,2710.744161453814,41768.40477336129,2688.0647957307215,-0.07812977696635368,0.08766948220735493
0.0053040000054522,68.81244041268796,3.8374211628637602,14819.592971213218,2711.591222086013,41798.04522862378,2692.7892716457627,-0.24260910229267552,0.20385966437123404
0.0053060000054543,68.82847342087804,3.837021674562222,14818.308882183446,2712.410800324229,41827.683130422396,2697.515562288769,-0.1235793505673529,0.10141671180797554
0.0053080000054563,68.84449768923429,3.8366202616041134,14817.009923150481,2713.2029452334405,41857.31844917147,2702.24362074718,0.049556490035592114,0.2077170833088131
0.0053100000054584,68.86051318674025,3.836216945976103,14815.695938311315,2713.9677068379146,41886.95115497815,2706.973400123354,0.10149804098680541,0.09964767592655391
0.0053120000054605,68.87651988205748,3.8358117492448236,14814.366773347005,2714.7051361167028,41916.581217633815,2711.70485353463,-0.1062641554495077,0.16436402414539159
0.0053140000054625,68.89251774351975,3.835404692556718,14813.022275423142,2715.415284999158,41946.208606627515,2716.4379341153503,-0.22313156949669,0.15809044226342026
0.0053160000054646,68.90850673912742,3.8349957966381094,14811.66229319021,2716.0982063605384,41975.83329114013,2721.1725950201335,-0.12141493443912106,0.1511368507099848
0.0053180000054666,68.92448683654192,3.834585081795353,14810.286676783906,2716.7539540176363,42005.45524005504,2725.9087894227073,0.13396003589747174,0.15169461640845897
0.0053200000054687,68.94045800308035,3.834172567915125,14808.895277825372,2717.382582724472,42035.074421953635,2730.6464705207436,0.043065237469520144,0.08395866158064577
0.0053220000054707,68.95642020571022,3.8337582744648513,14807.487949421346,2717.9841481680023,42064.69080512581,2735.385591534349,-0.14954840258447677,0.1724300092379106
0.0053240000054728,68.97237341104434,3.833342220493257,14806.064546164234,2718.558706963933,42094.304357565365,2740.1261057109373,-0.24044525325142116,0.13985515527108688
0.0053260000054749,68.98831758533589,3.8329244246311096,14804.624924132115,2719.106316652519,42123.915046980845,2744.867966324008,-0.1019373420396092,0.1397866720492757
0.0053280000054769,69.00425269447358,3.8325049050920503,14803.168940888647,2719.62703569445,42153.52284078957,2749.6111266764024,0.09067624124033165,0.1916872767661945
0.005330000005479,69.02017870397695,3.832083679673558,14801.69645548294,2720.120923466763,42183.12770613111,2754.355540102289,0.030079929241534603,0.11744598413616163
0.005332000005481,69.03609557899195,3.831660765758059,14800.207328449307,2720.588040258813,42212.72960985873,2759.101159967204,-0.17768303209904948,0.1650043013407069
0.0053340000054831,69.05200328428647,3.831236180314123,14798.701421807003,2721.0284472682706,42242.32851855417,2763.847939671621,-0.23828113550220595,0.13272416550505153
0.0053360000054851,69.06790178424625,3.8308099398978865,14797.17859905982,2721.4422065971676,42271.92439851992,2768.5958326506084,-0.008877096800624018,0.1023591997597925
0.0053380000054872,69.08379104287074,3.8303820606545145,14795.638725195653,2721.8293812480038,42301.517215788124,2773.344792377744,0.07985583256579779,0.17751685777554244
0.0053400000054892,69.09967102376929,3.829952558319866,14794.08166668599,2722.190035119885,42331.106936124896,2778.094772364011,0.02575136337100907,0.1451290116856751
0.0053420000054913,69.11554169015739,3.8295214482222395,14792.507291485306,2722.5242330047154,42360.693525026996,2782.845726162466,-0.14738444001817508,0.1551747881538903
0.0053440000054934,69.1314030048531,3.8290887452842095,14790.915469030419,2722.83204058342,42390.27694773267,2787.5976073670604,-0.22096753175706482,0.1573925844339467
0.0053460000054954,69.14725493027375,3.8286544640246825,14789.306070239734,2723.1135244222055,42419.85716921561,2792.3503696158086,-0.06731014211508786,0.14874697999726053
0.0053480000054975,69.16309742843262,3.828218618561032,14787.678967512467,2723.368751968866,42449.4341541985,2797.1039665927206,0.11015424685868802,0.16408002597349058
0.0053500000054995,69.17893046093589,3.827781222611379,14786.03403472773,2723.59779154913,42479.0078671444,2801.8583520278326,-0.03917416583140245,0.1160818018634194
